headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
"Activists, Afterward",New York and Region,"[u'NEW YORK CITY', u'HUDSON RIVER']",3053,"NEW YORKERS do not suffer from civic indifference. They are a rambunctious, involved tribe that relishes confrontation. And within that tribe is a more vocal, passionate group of political activists. They speak up. They act up. They raise money. They...",The New York Times,"[u'SOCIAL CONDITIONS AND TRENDS', u'HOMELESS PERSONS', u'HOUSING', u'ROADS AND TRAFFIC', u'POLITICS AND GOVERNMENT', u'BIOGRAPHICAL INFORMATION', u'PARKS AND OTHER RECREATION AREAS', u'WESTWAY']",http://www.nytimes.com/2000/04/02/nyregion/activists-afterward.html,The City Weekly Desk,2/4/2000,News,4fd2240f8eb7c8105d7aa0fa,"Reports on several people who were once social activists in New York City; Robert Hayes, leading advocate for the homeless, has left to be 'country lawyer' in Cumberland, Maine; Marie Runyon, now 84, looks back on fights for housing and radical causes; Marcy Benstock discusses continuing struggle against development along Hudson River waterfront; interviews; updates on several other past activists: Jane Benedict, Alan Berkman, Lewis Cole, Storme DeLarverie, Florynce Kennedy and David Rothenberg; photos (M)"
"IDEAS & TREND: No Room for Gypsies; Across a New Europe, a People Deemed Unfit for Tolerance",Week in Review,[u'EUROPE'],1369,"ON the night of Feb. 7, Tibor Tancos and Vlasta Tancosova were walking along the edge of the street with their 12-year-old son, Tomas, when a drunk in a blue-green Honda ran them down with his car. Tomas survived, but his parents died.    The police...",The New York Times,"[u'MINORITIES (US)', u'GYPSIES', u'DISCRIMINATION']",http://www.nytimes.com/2000/04/02/weekinreview/ideas-trend-no-room-for-gypsies-across-new-europe-people-deemed-unfit-for.html,Week in Review Desk,2/4/2000,News,4fd2240f8eb7c8105d7aa0fe,"Article on plight of Europe's Romas or Gypsies, eight million people scattered and mostly reviled across central and eastern Europe; photos (M)"
The Gypsies of Slovakia: Despised and Despairing,World,"[u'ROKYTOVCE (SLOVAKIA)', u'SLOVAKIA', u'NAGOV (SLOVAKIA)', u'RUDNANY (SLOVAKIA)']",1462,"Darina Horvathova, 23, lives with her baby on the crumbling remains of an abandoned iron and mercury mine, without a husband, a job or indoor plumbing. The soil, under the mounds of uncollected trash, is known to be contaminated. But 500 Gypsies, or...",The New York Times,"[u'GYPSIES', u'DISCRIMINATION', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/04/03/world/the-gypsies-of-slovakia-despised-and-despairing.html,Foreign Desk,3/4/2000,News,4fd23d518eb7c8105d7d3556,"Slovakia is notorious for its treatment of Gypsies, who make up 10 percent of population; in Rudnany, 500 Gypsies, or Roma, live in old mine buildings, in sickness and squalor, in shadow of factory that shut down when Communism died; discrimination keeps them out of work; Rudnany's civic leaders speak of them with open prejudice; two neighboring towns, Nagov and Rokytovce, recently adopted resolutions forbidding Gypsies from settling in their territory; Amnesty International report describes punitive police raids against Gypsy settlements; new Slovak prime minister, Mikulas Dzurinda, has promosed to protect rights of minorities, in particular Gypsies, but he is not expected to get any help from local authorities; photos; map (M)"
Barak Sees No Trouble on Leaving Lebanon,World,"[u'LEBANON', u'ISRAEL']",1109,"Prime Minister Ehud Barak said today that he did not expect a military confrontation after Israeli troops withdrew from southern Lebanon this summer, and that he foresaw no need for a significantly larger multinational peacekeeping force.    But here...",The New York Times,"[u'ISRAEL-INTERNATIONAL RELATIONS-LEBANON', u'ARMAMENT, DEFENSE AND MILITARY FORCES']",http://www.nytimes.com/2000/04/04/world/barak-sees-no-trouble-on-leaving-lebanon.html,Foreign Desk,4/4/2000,News,4fd1f5938eb7c8105d74f8d3,"Prime Min Ehud Barak says he does not expect military confrontation after Israeli troops withdrew from southern Lebanon, and that he foresees no need for significantly larger multinational peacekeeping force; map; photo (M)"
Jailed Mexican Wins Environmental Prize,World,"[u'ACAPULCO (MEXICO)', u'MEXICO']",591,"Humble Mexicans who stand in the way of depleting the country's natural resources have often faced brutal treatment, but one such man has discovered in recent days that he has international friends to help him fight his cause.    The man is Rodolfo...",The New York Times,"[u'FORESTS AND FORESTRY', u'DEMONSTRATIONS AND RIOTS', u'AWARDS, DECORATIONS AND HONORS', u'LOGGING INDUSTRY']",http://www.nytimes.com/2000/04/05/world/jailed-mexican-wins-environmental-prize.html,Foreign Desk,5/4/2000,News,4fd224138eb7c8105d7aa355,"Rodolfo Montiel is recognized by Amnesty International and San Francisco foundation for organizing Mexican peasants to block logging of forests north of Acapulco in 1998; gunmen have since killed several members of his ecological organization and Montiel himself has been imprisoned; photo; Amnesty International declares him prisoner of conscience, prompting flood of protest letters to Mexican authorities; Montiel, 44 and nearly toothless, expresses disbelief about $125,000 prize (S)"
NEWS SUMMARY,New York and Region,[],1175,"INTERNATIONAL   A3-15    Japan's Governing Party Moves to Pick Successor  The Liberal Democratic Party chose Yoshiro Mori to succeed Prime Minister Keizo Obuchi, who has been in a coma since Sunday. Mr. Mori, 62, who was second to Mr. Obuchi in the...",The New York Times,[],http://www.nytimes.com/2000/04/05/nyregion/news-summary-625426.html,Metropolitan Desk,5/4/2000,Summary,4fd23d4e8eb7c8105d7d3312,
My Home is Not Your Home,U.S.,[],1851,"In this lesson, students examine the tension in Slovakia over the issue of the rights of Romas (Gypsies). Students compare and contrast the situation in Slovakia to other historical examples researched in class.",The New York Times,[],http://learning.blogs.nytimes.com/2000/04/05/my-home-is-not-your-home/,,5/4/2000,Blog,4fd3638e8eb7c8105d8b234b,"In this lesson, students examine the tension in Slovakia over the issue of the rights of Romas (Gypsies). Students compare and contrast the situation in Slovakia to other historical examples researched in class."
Sierra Leone Poses Test For U.N.'s Africa Policy,World,"[u'SIERRA LEONE', u'LIBERIA', u'DARU (SIERRA LEONE)']",1260,"This town, attacked 59 times during a nine-year civil war, was left for dead, deserted by its residents. Its strategic airstrip was protected by forces loyal to the government but surrounded by brutal rebels who controlled the rest of eastern Sierra...",The New York Times,"[u'MINES AND MINING', u'GEOGRAPHIC PROFILES', u'CIVIL WAR AND GUERRILLA WARFARE', u'DIAMONDS']",http://www.nytimes.com/2000/04/05/world/sierra-leone-poses-test-for-un-s-africa-policy.html,Foreign Desk,5/4/2000,News,4fd236758eb7c8105d7c883f,"Town of Daru, abandoned during nine years of civil war in Sierra Leone, is returning to life with arrival of UN peacekeepers; photo; map; thousands of refugees return from camps in Liberia as peacekeepers slowly start pushing into rebel-held territory; UN mission is to bring in more than 11,000 troops by July; long conflict, fueled by wealth of diamond mines, explained (M)"
BUSINESS DIGEST,Business,[],574,"Judge Sets Deadline in May For Microsoft Penalty Plan  The next phase of the Microsoft antitrust case should be wrapped up by late May under a schedule set by Judge Thomas Penfield Jackson, who is presiding over the case.    The timetable calls for...",The New York Times,[],http://www.nytimes.com/2000/04/06/business/business-digest-643920.html,Business/Financial Desk,6/4/2000,Summary,4fd1f60c8eb7c8105d7505a7,
Israel Frees One of 16 Lebanese It Held to Trade for Its Soldiers,World,"[u'LEBANON', u'ISRAEL']",445,Israel today freed one of 16 Lebanese prisoners who have been held without charges as ''bargaining chips'' for the potential release of Israeli soldiers captured in Lebanon.,The New York Times,[u'SUICIDES AND SUICIDE ATTEMPTS'],http://www.nytimes.com/2000/04/06/world/israel-frees-one-of-16-lebanese-it-held-to-trade-for-its-soldiers.html,Foreign Desk,6/4/2000,News,4fd2135a8eb7c8105d78a72c,"Israel frees one of 16 Lebanese prisoners who have been held without charges as 'bargaining chips' for potential release of Israeli soldiers captured in Lebanon; Zvi Rish, attorney for released man, Ghassan al-Dirani, says his client spent most of his 10 years in captivity isolated in prison hospital and attempted suicide several times (M)"
A Call to Put Social Issues on Corporate Agendas,Business,[],771,"A multinational corporation prepares for a major investment in a troubled part of the world. The pickings, from oil or mining or cheap labor, stand to be enormous. But the local government is corrupt. Its security forces are brutal. What does the...",The New York Times,"[u'CHILD LABOR', u'LABOR', u'MULTINATIONAL COMPANIES', u'POLITICS AND GOVERNMENT', u'CORPORATIONS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/04/06/business/international-business-a-call-to-put-social-issues-on-corporate-agendas.html,Business/Financial Desk,6/4/2000,News,4fd1fa138eb7c8105d7579d3,"Amnesty International report says a multinational company's stance on human rights will be considered part of its performance and that companies must be prepared to confront governments that play host to them about issues ranging from political repression to child labor; Amnesty International wrote report along with Prince of Wales Business Leaders Forum, advocacy organization supported by Prince Charles of Britain to promote socially responsible business practices; report signals beginning of new campaign by advocacy groups to hold corporate behavior to standards that many multinational companies have once sought to dismiss (M)"
DIAMOND WARS: A special report.; Africa's Gems: Warfare's Best Friend,World; Front Page,"[u'SIERRA LEONE', u'CONGO (FORMERLY ZAIRE)', u'AFRICA', u'ANGOLA']",5219,"The rough stone emerges from the African soil at fortresslike mines in the war zones of Angola or straight from the muck of a dammed-up river in Congo. After journeying across continents and oceans, after being graded, cut, polished and set in gold...",The New York Times,"[u'SURVEYS AND SERIES', u'PRICES (FARES, FEES AND RATES)', u'DIAMONDS']",http://www.nytimes.com/2000/04/06/world/diamond-wars-a-special-report-africa-s-gems-warfare-s-best-friend.html,Foreign Desk,6/4/2000,Special Report,4fd1fa138eb7c8105d7579d2,"Portability and anonymity of diamonds have made them currency of choice for those waging wars in various countries in Africa (special report, Diamond Wars); diamonds from African war zones reportedly accounted for 10 to 15 percent of world suppply as recently as mid-1990's; Americans buy more than half the world's diamond jewelry, and diamond sales around world are booming; De Beers, South African conglomerate that controls two-thirds of world's rough diamonds, showed record sales last year of more than $5 billion; smugglers in Sierra Leone and Congo have ready access to third of world diamond market that De Beers does not control; diamonds spilling out of Angola's war zone have had destabilizing effect on De Beers cartel; its reputation has been tarred by reports that it bought up sizable amount of diamonds from Unita rebels to maintain world prices; photos; map (L)"
Israel Is Slowly Shedding Harsh Treatment of Arabs,World; Front Page,[u'ISRAEL'],2282,"Justice Minister Yossi Beilin calls it a ''quiet revolution.''     Through the years, Israel has been consistently criticized by many human and civil rights organizations for invoking national security to explain practices that were considered...",The New York Times,"[u'PALESTINIANS', u'DISCRIMINATION', u'ARABS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/04/07/world/israel-is-slowly-shedding-harsh-treatment-of-arabs.html,Foreign Desk,7/4/2000,News,4fd213508eb7c8105d789fac,"Crucial policy changes and spate of High Court decisions regarding Israel's treatment of Israeli Arabs and Palestinians have occurred since right-wing government was replaced last summer by broad coalition including several leftists and human rights advocates; through the years, Israel has been consistently criticized by many human rights and civil rights orgns for invoking national security to explain practices that were considered exclusionary, discriminatory and coercive toward Israeli Arabs and Palestinians; torture of Palestinian suspects has been banned; practice of stripping Palestinians of their residency rights in East Jerusalem has all but ended; in a landmark ruling, equal right of Arabs to land allocated by state has been affirmed; and for first time in Israel's history, land long considered part of a Jewish town was taken away and returned to Arab village from which it was expropriated decades ago; photo (M)"
